model_name,block_len,median_delta,mbb_median_ci_low,mbb_median_ci_high
power_yeojohnson_svm,2,0.0616005945274237,0.0288052403632776,0.0989574809664846
power_yeojohnson_svm,3,0.0616005945274237,0.0178843201612443,0.0989574809664846
quantile_normal_svm,2,0.0296443947269066,-0.0534884943339512,0.0460399576577318
quantile_normal_svm,3,0.0296443947269066,-0.0474127248253045,0.0948057749224271
ratio_median_svm,2,0.0,0.0,0.0
ratio_median_svm,3,0.0,0.0,0.0
robust_svm_rbf,2,-0.0222018765022163,-0.0720371323171676,0.0081032386041045
robust_svm_rbf,3,-0.0222018765022163,-0.110648461667791,0.0081032386041045
routear_combined_svm,2,0.037782578566738,-0.0069273941157351,0.0616005945274237
routear_combined_svm,3,0.037782578566738,-0.0069273941157351,0.0616005945274237
signed_log_abs_svm,2,0.0742268571536864,0.0100418306533436,0.0943828323177575
signed_log_abs_svm,3,0.0742268571536864,0.0241367303077411,0.0862047880702985
ss_svm_rbf,2,0.0,0.0,0.0
ss_svm_rbf,3,0.0,0.0,0.0
