dataset,batch_id,source_file,n_rows,n_classes_present,class_counts_json,has_concentration,n_concentration_nonnull
uci270,1,batch1.dat,445,6,"{""1"": 90, ""2"": 98, ""3"": 83, ""4"": 30, ""5"": 70, ""6"": 74}",True,445
uci270,2,batch2.dat,1244,6,"{""1"": 164, ""2"": 334, ""3"": 100, ""4"": 109, ""5"": 532, ""6"": 5}",True,1244
uci270,3,batch3.dat,1586,5,"{""1"": 365, ""2"": 490, ""3"": 216, ""4"": 240, ""5"": 275}",True,1586
uci270,4,batch4.dat,161,5,"{""1"": 64, ""2"": 43, ""3"": 12, ""4"": 30, ""5"": 12}",True,161
uci270,5,batch5.dat,197,5,"{""1"": 28, ""2"": 40, ""3"": 20, ""4"": 46, ""5"": 63}",True,197
uci270,6,batch6.dat,2300,6,"{""1"": 514, ""2"": 574, ""3"": 110, ""4"": 29, ""5"": 606, ""6"": 467}",True,2300
uci270,7,batch7.dat,3613,6,"{""1"": 649, ""2"": 662, ""3"": 360, ""4"": 744, ""5"": 630, ""6"": 568}",True,3613
uci270,8,batch8.dat,294,6,"{""1"": 30, ""2"": 30, ""3"": 40, ""4"": 33, ""5"": 143, ""6"": 18}",True,294
uci270,9,batch9.dat,470,6,"{""1"": 61, ""2"": 55, ""3"": 100, ""4"": 75, ""5"": 78, ""6"": 101}",True,470
uci270,10,batch10.dat,3600,6,"{""1"": 600, ""2"": 600, ""3"": 600, ""4"": 600, ""5"": 600, ""6"": 600}",True,3600
