protocol,target_batch,tuning_policy,train_batches,inner_train_batches,inner_val_batches,model_name,C,gamma,val_macro_f1_fixed6
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,1.0,0.001,0.9462293692897141
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,1.0,0.00390625,0.9469259906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,1.0,0.0078125,0.9469259906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,1.0,0.01,0.970148131438454
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,10.0,0.001,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,10.0,0.00390625,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,10.0,0.0078125,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,10.0,0.01,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,50.0,0.001,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,50.0,0.00390625,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,50.0,0.0078125,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,50.0,0.01,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,1.0,0.001,0.9469259906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,1.0,0.00390625,0.9469259906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,1.0,0.0078125,0.9694515100521776
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,1.0,0.01,0.9694515100521776
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,10.0,0.001,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,10.0,0.00390625,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,10.0,0.0078125,0.9899793692897142
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,10.0,0.01,0.9899793692897142
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,50.0,0.001,0.9912219912219912
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,50.0,0.00390625,0.9906759906759907
