protocol,target_batch,model_name,tuning_policy,train_batches,n_train_full,n_val_inner,n_test,selected_C,selected_gamma,best_val_macro_f1_fixed6,macro_f1_fixed6,macro_f1_present,accuracy,balanced_accuracy,macro_f1_ss,delta_vs_ss
B_rolling_update,2,power_yeojohnson_svm,row_level_stratified_fallback_single_train_batch,[1],445,89,1244,10.0,0.001,0.9906759906759907,0.6149488761000707,0.6149488761000707,0.7982315112540193,0.6432906605640728,0.5396046758124388,0.07534420028763189
B_rolling_update,3,power_yeojohnson_svm,holdout_latest_train_batch_2,"[1, 2]",1689,1244,1586,50.0,0.00390625,0.7256659314791544,0.8015099863268303,0.9618119835921964,0.9659520807061791,0.9639381283715922,0.7727047459635527,0.028805240363277695
B_rolling_update,4,power_yeojohnson_svm,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.0078125,0.8055865235486729,0.7680260915555032,0.9216313098666038,0.9006211180124224,0.9145833333333332,0.7064254970280794,0.061600594527423724
B_rolling_update,5,power_yeojohnson_svm,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,1.0,0.00390625,0.7840036257812127,0.8140913276098045,0.9769095931317654,0.9796954314720813,0.9736507936507935,0.7962070074485602,0.017884320161244305
B_rolling_update,6,power_yeojohnson_svm,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,50.0,0.001,0.8277474931018238,0.6297272880089542,0.6297272880089542,0.7365217391304347,0.7817403181091439,0.5074446049329545,0.12228268307599965
B_rolling_update,7,power_yeojohnson_svm,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,10.0,0.001,0.639239122766246,0.8144895644160388,0.8144895644160388,0.8283974536396347,0.8417775770513162,0.8790961507806578,-0.06460658636461902
B_rolling_update,8,power_yeojohnson_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.00390625,0.8333158659735337,0.9464462367916994,0.9464462367916994,0.9489795918367347,0.9352531727531729,0.8474887558252148,0.0989574809664846
B_rolling_update,9,power_yeojohnson_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.01,0.9568495536077452,0.9250422462382399,0.9250422462382399,0.9212765957446809,0.9360243716679361,0.7434872338040502,0.1815550124341897
B_rolling_update,10,power_yeojohnson_svm,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.0078125,0.9470925541114715,0.7541763122893609,0.7541763122893609,0.76,0.7599999999999999,0.7142237482594749,0.039952564029886006
B_rolling_update,2,quantile_normal_svm,row_level_stratified_fallback_single_train_batch,[1],445,89,1244,10.0,0.001,1.0,0.44843846631970324,0.44843846631970324,0.4855305466237942,0.5078151875233579,0.5396046758124388,-0.09116620949273552
B_rolling_update,3,quantile_normal_svm,holdout_latest_train_batch_2,"[1, 2]",1689,1244,1586,1.0,0.00390625,0.6728707958430373,0.7192162516296015,0.8630595019555217,0.8688524590163934,0.8782992740752036,0.7727047459635527,-0.0534884943339512
B_rolling_update,4,quantile_normal_svm,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.01,0.7585994785034366,0.7524654546858113,0.9029585456229736,0.8695652173913043,0.8989583333333332,0.7064254970280794,0.046039957657731834
B_rolling_update,5,quantile_normal_svm,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,50.0,0.001,0.8079004329004329,0.8277474931018238,0.9932969917221885,0.9949238578680203,0.99,0.7962070074485602,0.03154048565326362
B_rolling_update,6,quantile_normal_svm,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,10.0,0.001,0.8277474931018238,0.634411728096988,0.634411728096988,0.7208695652173913,0.7714963667491629,0.5074446049329545,0.12696712316403347
B_rolling_update,7,quantile_normal_svm,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,10.0,0.001,0.634411728096988,0.8316834259553533,0.8316834259553533,0.844173816772765,0.8586815868627831,0.8790961507806578,-0.047412724825304564
B_rolling_update,8,quantile_normal_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.8316834259553533,0.9422945307476419,0.9422945307476419,0.9489795918367347,0.931549469049469,0.8474887558252148,0.09480577492242714
B_rolling_update,9,quantile_normal_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,1.0,0.01,0.9473646278606408,0.7467548536721469,0.7467548536721469,0.7723404255319148,0.8205128205128206,0.7434872338040502,0.0032676198680966495
