dataset,protocol,target_batch,model_name,split_type,n_train,n_val,n_test,macro_f1,macro_f1_present,accuracy,balanced_accuracy,late_early_bucket,notes
uci270,A_cold_batch_transfer,2,ss_svm_rbf,confirmatory,356,89,1244,0.5367208552708603,0.5367208552708603,0.6527331189710611,0.5859050826149417,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,3,ss_svm_rbf,confirmatory,356,89,1586,0.2895650334294705,0.3474780401153646,0.47540983606557374,0.3681098441313706,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,4,ss_svm_rbf,confirmatory,356,89,161,0.20863752122241086,0.25036502546689304,0.34782608695652173,0.2585513565891473,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,5,ss_svm_rbf,confirmatory,356,89,197,0.14578950723529036,0.17494740868234843,0.17766497461928935,0.2007142857142857,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,6,ss_svm_rbf,confirmatory,356,89,2300,0.2270177989575309,0.2270177989575309,0.42782608695652175,0.3038861616065754,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,7,ss_svm_rbf,confirmatory,356,89,3613,0.30041068153502115,0.30041068153502115,0.377802380293385,0.41366285449955886,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,8,ss_svm_rbf,confirmatory,356,89,294,0.3022900132275132,0.3022900132275132,0.282312925170068,0.42083333333333334,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,9,ss_svm_rbf,confirmatory,356,89,470,0.27401390178295126,0.27401390178295126,0.3872340425531915,0.396969696969697,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,10,ss_svm_rbf,confirmatory,356,89,3600,0.36687094795890407,0.36687094795890407,0.43083333333333335,0.43083333333333335,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,2,routear_combined_svm,exploratory,356,89,1244,0.7357499926157915,0.7357499926157915,0.8810289389067524,0.7729475122741863,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
