target_batch,model_name,n_test,macro_f1_fixed6,macro_f1_present,accuracy,balanced_accuracy,selected_C,selected_gamma
2,routea_core_svm,1244,0.7043284719617224,0.7043284719617224,0.7901929260450161,0.7538168089496966,50.0,0.00390625
2,routear_blockcomp_svm,1244,0.602465594250177,0.602465594250177,0.8231511254019293,0.6741706645375718,50.0,0.0078125
2,routear_combined_svm,1244,0.7507531025177746,0.7507531025177746,0.885048231511254,0.7804913161612043,50.0,0.00390625
2,routear_combined_svm_noscaler,1244,0.6640192089773236,0.6640192089773236,0.5996784565916399,0.7062619461830238,50.0,0.0078125
2,ss_svm_rbf,1244,0.5732269223763834,0.5732269223763834,0.6028938906752411,0.6411296671870088,50.0,0.00390625
3,routea_core_svm,1586,0.8083630491479744,0.9700356589775693,0.9735182849936949,0.9685426899693045,50.0,0.001
3,routear_blockcomp_svm,1586,0.6962144415628634,0.835457329875436,0.8461538461538461,0.8642582473697933,10.0,0.01
3,routear_combined_svm,1586,0.8198099119922476,0.9837718943906971,0.9848675914249685,0.9836183091750608,50.0,0.00390625
3,routear_combined_svm_noscaler,1586,0.7974495118912269,0.9569394142694723,0.9621689785624212,0.9543560288374378,10.0,0.01
3,ss_svm_rbf,1586,0.7721569086972174,0.9265882904366609,0.9300126103404792,0.9312517670413951,50.0,0.01
4,routea_core_svm,161,0.7449799277536832,0.8939759133044198,0.9006211180124224,0.9069525193798448,50.0,0.001
4,routear_blockcomp_svm,161,0.7604318769266328,0.9125182523119595,0.8881987577639752,0.9007025193798448,50.0,0.01
4,routear_combined_svm,161,0.7731241860530357,0.9277490232636427,0.9130434782608695,0.9208333333333332,50.0,0.001
4,routear_combined_svm_noscaler,161,0.7660267621379533,0.919232114565544,0.9316770186335404,0.9337500000000001,50.0,0.00390625
4,ss_svm_rbf,161,0.7242390289449112,0.8690868347338935,0.8509316770186336,0.8784108527131782,50.0,0.00390625
5,routea_core_svm,197,0.8088424321863871,0.9706109186236646,0.9695431472081218,0.9741269841269842,1.0,0.01
5,routear_blockcomp_svm,197,0.824622211718986,0.9895466540627831,0.9898477157360406,0.9868253968253968,50.0,0.01
5,routear_combined_svm,197,0.8234903498061392,0.988188419767367,0.9898477157360406,0.9868253968253968,10.0,0.001
5,routear_combined_svm_noscaler,197,0.8120180703426246,0.9744216844111495,0.9746192893401016,0.9773015873015873,50.0,0.00390625
5,ss_svm_rbf,197,0.7931247532751292,0.9517497039301551,0.949238578680203,0.9534920634920635,10.0,0.01
6,routea_core_svm,2300,0.5946079334962063,0.5946079334962063,0.7352173913043478,0.7812872585947569,1.0,0.001
6,routear_blockcomp_svm,2300,0.6513316066657765,0.6513316066657765,0.7304347826086957,0.7818150894745649,50.0,0.0078125
6,routear_combined_svm,2300,0.6398457348702112,0.6398457348702112,0.7604347826086957,0.7978610298834083,10.0,0.001
6,routear_combined_svm_noscaler,2300,0.6133096392673997,0.6133096392673997,0.7395652173913043,0.7838131907660594,10.0,0.001
6,ss_svm_rbf,2300,0.6457150119566378,0.6457150119566378,0.7430434782608696,0.7857115923498693,50.0,0.00390625
7,routea_core_svm,3613,0.8099702187687358,0.8099702187687358,0.8192637697204539,0.8279894420285151,10.0,0.001
7,routear_blockcomp_svm,3613,0.7221140613468814,0.7221140613468814,0.7273733739274841,0.7308412840720854,50.0,0.01
7,routear_combined_svm,3613,0.8469938659768174,0.8469938659768174,0.8505397176861335,0.8648130161492839,10.0,0.0078125
7,routear_combined_svm_noscaler,3613,0.7980083331846668,0.7980083331846668,0.8112371990035981,0.8202982831276788,10.0,0.00390625
7,ss_svm_rbf,3613,0.8723819688108599,0.8723819688108599,0.8696374204262386,0.8815526543669719,50.0,0.00390625
8,routea_core_svm,294,0.8592538592467732,0.8592538592467732,0.8877551020408163,0.8611143486143487,10.0,0.001
8,routear_blockcomp_svm,294,0.7756478718701652,0.7756478718701652,0.8435374149659864,0.8065624190624191,10.0,0.001
8,routear_combined_svm,294,0.8103902489184863,0.8103902489184863,0.8469387755102041,0.8057271432271432,10.0,0.0078125
8,routear_combined_svm_noscaler,294,0.874131148011745,0.874131148011745,0.9013605442176871,0.8613862988862989,10.0,0.00390625
8,ss_svm_rbf,294,0.8998887521886839,0.8998887521886839,0.9149659863945578,0.8778457653457653,10.0,0.0078125
9,routea_core_svm,470,0.7500738118495488,0.7500738118495488,0.7723404255319148,0.8189383112333931,10.0,0.01
9,routear_blockcomp_svm,470,0.8458113465882157,0.8458113465882157,0.8553191489361702,0.8838106118304139,50.0,0.001
9,routear_combined_svm,470,0.7506012270131471,0.7506012270131471,0.7702127659574468,0.8182051282051283,50.0,0.001
9,routear_combined_svm_noscaler,470,0.7373763663153422,0.7373763663153422,0.7510638297872341,0.7937004343561721,50.0,0.001
9,ss_svm_rbf,470,0.7416317191332927,0.7416317191332927,0.7595744680851064,0.804543926019336,10.0,0.00390625
10,routea_core_svm,3600,0.7449445449429316,0.7449445449429316,0.7483333333333333,0.7483333333333334,10.0,0.01
10,routear_blockcomp_svm,3600,0.5221760842195418,0.5221760842195418,0.53,0.53,50.0,0.01
10,routear_combined_svm,3600,0.6956212659468474,0.6956212659468474,0.6958333333333333,0.6958333333333333,10.0,0.001
10,routear_combined_svm_noscaler,3600,0.7028595018154933,0.7028595018154933,0.6980555555555555,0.6980555555555554,10.0,0.001
10,ss_svm_rbf,3600,0.6792613653038982,0.6792613653038982,0.6822222222222222,0.6822222222222222,1.0,0.00390625
