dataset,protocol,model_name,target_batch,n_train,n_val,n_test,split_type,notes
uci270,A_cold_batch_transfer,ss_svm_rbf,2,356,89,1244,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,ss_svm_rbf,3,356,89,1586,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,ss_svm_rbf,4,356,89,161,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,ss_svm_rbf,5,356,89,197,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,ss_svm_rbf,6,356,89,2300,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,ss_svm_rbf,7,356,89,3613,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,ss_svm_rbf,8,356,89,294,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,ss_svm_rbf,9,356,89,470,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,ss_svm_rbf,10,356,89,3600,confirmatory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,routear_combined_svm,2,356,89,1244,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,routear_combined_svm,3,356,89,1586,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,routear_combined_svm,4,356,89,161,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,routear_combined_svm,5,356,89,197,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,routear_combined_svm,6,356,89,2300,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,routear_combined_svm,7,356,89,3613,exploratory,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
