dataset,protocol,target_batch,model_name,n_train,n_val,n_test,macro_f1_fixed6,macro_f1_present,accuracy,balanced_accuracy,selected_C,selected_gamma
uci270,B_rolling_update,2,power_yeojohnson_svm,445,89,1244,0.715120863637238,0.715120863637238,0.8416398713826366,0.7597853623396889,10.0,0.00390625
uci270,B_rolling_update,2,signed_log_abs_svm,445,89,1244,0.7043284719617224,0.7043284719617224,0.7901929260450161,0.7538168089496966,50.0,0.00390625
uci270,B_rolling_update,2,routear_combined_svm,445,89,1244,0.7507531025177746,0.7507531025177746,0.885048231511254,0.7804913161612043,50.0,0.00390625
uci270,B_rolling_update,2,quantile_normal_svm,445,89,1244,0.6571480216295981,0.6571480216295981,0.702572347266881,0.712508240441911,10.0,0.00390625
uci270,B_rolling_update,2,ratio_median_svm,445,89,1244,0.5732269223763834,0.5732269223763834,0.6028938906752411,0.6411296671870088,50.0,0.00390625
uci270,B_rolling_update,2,ss_svm_rbf,445,89,1244,0.5732269223763834,0.5732269223763834,0.6028938906752411,0.6411296671870088,50.0,0.00390625
uci270,B_rolling_update,2,robust_svm_rbf,445,89,1244,0.661099803833673,0.661099803833673,0.6286173633440515,0.7111514180514819,10.0,0.01
uci270,B_rolling_update,3,power_yeojohnson_svm,1689,1244,1586,0.8015099863268303,0.9618119835921964,0.9659520807061791,0.9639381283715922,50.0,0.00390625
uci270,B_rolling_update,3,signed_log_abs_svm,1689,1244,1586,0.8083630491479744,0.9700356589775693,0.9735182849936949,0.9685426899693045,50.0,0.001
uci270,B_rolling_update,3,routear_combined_svm,1689,1244,1586,0.8198099119922476,0.9837718943906971,0.9848675914249685,0.9836183091750608,50.0,0.00390625
uci270,B_rolling_update,3,quantile_normal_svm,1689,1244,1586,0.744462420618856,0.8933549047426272,0.8978562421185372,0.899898877414533,1.0,0.01
uci270,B_rolling_update,3,ratio_median_svm,1689,1244,1586,0.7721569086972174,0.9265882904366609,0.9300126103404792,0.9312517670413951,50.0,0.01
uci270,B_rolling_update,3,ss_svm_rbf,1689,1244,1586,0.7721569086972174,0.9265882904366609,0.9300126103404792,0.9312517670413951,50.0,0.01
uci270,B_rolling_update,3,robust_svm_rbf,1689,1244,1586,0.7635242356982136,0.9162290828378563,0.9211853720050441,0.9167912457912457,1.0,0.01
uci270,B_rolling_update,4,power_yeojohnson_svm,3275,1586,161,0.7680260915555032,0.9216313098666038,0.9006211180124224,0.9145833333333332,10.0,0.0078125
uci270,B_rolling_update,4,signed_log_abs_svm,3275,1586,161,0.7449799277536832,0.8939759133044198,0.9006211180124224,0.9069525193798448,50.0,0.001
uci270,B_rolling_update,4,routear_combined_svm,3275,1586,161,0.7731241860530357,0.9277490232636427,0.9130434782608695,0.9208333333333332,50.0,0.001
uci270,B_rolling_update,4,quantile_normal_svm,3275,1586,161,0.7975238095238094,0.9570285714285713,0.9440993788819876,0.96125,10.0,0.00390625
uci270,B_rolling_update,4,ratio_median_svm,3275,1586,161,0.7242390289449112,0.8690868347338935,0.8509316770186336,0.8784108527131782,50.0,0.00390625
uci270,B_rolling_update,4,ss_svm_rbf,3275,1586,161,0.7242390289449112,0.8690868347338935,0.8509316770186336,0.8784108527131782,50.0,0.00390625
uci270,B_rolling_update,4,robust_svm_rbf,3275,1586,161,0.7562871828521435,0.9075446194225721,0.8881987577639752,0.9083333333333332,50.0,0.00390625
uci270,B_rolling_update,5,power_yeojohnson_svm,3436,161,197,0.8203437377563013,0.9844124853075616,0.9847715736040609,0.9836507936507937,10.0,0.00390625
uci270,B_rolling_update,5,signed_log_abs_svm,3436,161,197,0.8088424321863871,0.9706109186236646,0.9695431472081218,0.9741269841269842,1.0,0.01
uci270,B_rolling_update,5,routear_combined_svm,3436,161,197,0.8234903498061392,0.988188419767367,0.9898477157360406,0.9868253968253968,10.0,0.001
uci270,B_rolling_update,5,quantile_normal_svm,3436,161,197,0.8277474931018238,0.9932969917221885,0.9949238578680203,0.99,50.0,0.001
uci270,B_rolling_update,5,ratio_median_svm,3436,161,197,0.7931247532751292,0.9517497039301551,0.949238578680203,0.9534920634920635,10.0,0.01
uci270,B_rolling_update,5,ss_svm_rbf,3436,161,197,0.7931247532751292,0.9517497039301551,0.949238578680203,0.9534920634920635,10.0,0.01
uci270,B_rolling_update,5,robust_svm_rbf,3436,161,197,0.8120180703426246,0.9744216844111495,0.9746192893401016,0.9773015873015873,50.0,0.00390625
uci270,B_rolling_update,6,power_yeojohnson_svm,3633,197,2300,0.6418351101220732,0.6418351101220732,0.731304347826087,0.778468236945578,10.0,0.001
uci270,B_rolling_update,6,signed_log_abs_svm,3633,197,2300,0.5946079334962063,0.5946079334962063,0.7352173913043478,0.7812872585947569,1.0,0.001
uci270,B_rolling_update,6,routear_combined_svm,3633,197,2300,0.6398457348702112,0.6398457348702112,0.7604347826086957,0.7978610298834083,10.0,0.001
uci270,B_rolling_update,6,quantile_normal_svm,3633,197,2300,0.632667484169577,0.632667484169577,0.7260869565217392,0.7748426944132882,10.0,0.001
uci270,B_rolling_update,6,ratio_median_svm,3633,197,2300,0.6457150119566378,0.6457150119566378,0.7430434782608696,0.7857115923498693,50.0,0.00390625
uci270,B_rolling_update,6,ss_svm_rbf,3633,197,2300,0.6457150119566378,0.6457150119566378,0.7430434782608696,0.7857115923498693,50.0,0.00390625
uci270,B_rolling_update,6,robust_svm_rbf,3633,197,2300,0.4866076119120339,0.4866076119120339,0.5843478260869566,0.6682941113021537,1.0,0.001
uci270,B_rolling_update,7,power_yeojohnson_svm,5933,2300,3613,0.7997212022401549,0.7997212022401549,0.8029338499861611,0.8164267264278623,1.0,0.0078125
uci270,B_rolling_update,7,signed_log_abs_svm,5933,2300,3613,0.8099702187687358,0.8099702187687358,0.8192637697204539,0.8279894420285151,10.0,0.001
uci270,B_rolling_update,7,routear_combined_svm,5933,2300,3613,0.8469938659768174,0.8469938659768174,0.8505397176861335,0.8648130161492839,10.0,0.0078125
uci270,B_rolling_update,7,quantile_normal_svm,5933,2300,3613,0.7519383655458575,0.7519383655458575,0.7680597841129255,0.7825490148476576,1.0,0.01
uci270,B_rolling_update,7,ratio_median_svm,5933,2300,3613,0.8723819688108599,0.8723819688108599,0.8696374204262386,0.8815526543669719,50.0,0.00390625
uci270,B_rolling_update,7,ss_svm_rbf,5933,2300,3613,0.8723819688108599,0.8723819688108599,0.8696374204262386,0.8815526543669719,50.0,0.00390625
uci270,B_rolling_update,7,robust_svm_rbf,5933,2300,3613,0.7830507035582075,0.7830507035582075,0.7965679490727927,0.8090342533095828,10.0,0.001
uci270,B_rolling_update,8,power_yeojohnson_svm,9546,3613,294,0.9283727286639404,0.9283727286639404,0.935374149659864,0.9093272468272469,50.0,0.00390625
uci270,B_rolling_update,8,signed_log_abs_svm,9546,3613,294,0.8592538592467732,0.8592538592467732,0.8877551020408163,0.8611143486143487,10.0,0.001
uci270,B_rolling_update,8,routear_combined_svm,9546,3613,294,0.8103902489184863,0.8103902489184863,0.8469387755102041,0.8057271432271432,10.0,0.0078125
uci270,B_rolling_update,8,quantile_normal_svm,9546,3613,294,0.9422945307476419,0.9422945307476419,0.9489795918367347,0.931549469049469,10.0,0.001
uci270,B_rolling_update,8,ratio_median_svm,9546,3613,294,0.8998887521886839,0.8998887521886839,0.9149659863945578,0.8778457653457653,10.0,0.0078125
uci270,B_rolling_update,8,ss_svm_rbf,9546,3613,294,0.8998887521886839,0.8998887521886839,0.9149659863945578,0.8778457653457653,10.0,0.0078125
uci270,B_rolling_update,8,robust_svm_rbf,9546,3613,294,0.8807912741497,0.8807912741497,0.9047619047619048,0.8635780885780885,50.0,0.0078125
uci270,B_rolling_update,9,power_yeojohnson_svm,9840,294,470,0.86473990094498,0.86473990094498,0.8595744680851064,0.8881695861893882,10.0,0.01
uci270,B_rolling_update,9,signed_log_abs_svm,9840,294,470,0.7500738118495488,0.7500738118495488,0.7723404255319148,0.8189383112333931,10.0,0.01
uci270,B_rolling_update,9,routear_combined_svm,9840,294,470,0.7506012270131471,0.7506012270131471,0.7702127659574468,0.8182051282051283,50.0,0.001
uci270,B_rolling_update,9,quantile_normal_svm,9840,294,470,0.7449790948256951,0.7449790948256951,0.7723404255319148,0.8205128205128206,1.0,0.01
uci270,B_rolling_update,9,ratio_median_svm,9840,294,470,0.7416317191332927,0.7416317191332927,0.7595744680851064,0.804543926019336,10.0,0.00390625
uci270,B_rolling_update,9,ss_svm_rbf,9840,294,470,0.7416317191332927,0.7416317191332927,0.7595744680851064,0.804543926019336,10.0,0.00390625
uci270,B_rolling_update,9,robust_svm_rbf,9840,294,470,0.741030785005484,0.741030785005484,0.7574468085106383,0.8030026621829901,10.0,0.00390625
uci270,B_rolling_update,10,power_yeojohnson_svm,10310,470,3600,0.7558433369733049,0.7558433369733049,0.7616666666666667,0.7616666666666666,50.0,0.0078125
uci270,B_rolling_update,10,signed_log_abs_svm,10310,470,3600,0.7449445449429316,0.7449445449429316,0.7483333333333333,0.7483333333333334,10.0,0.01
uci270,B_rolling_update,10,routear_combined_svm,10310,470,3600,0.6956212659468474,0.6956212659468474,0.6958333333333333,0.6958333333333333,10.0,0.001
uci270,B_rolling_update,10,quantile_normal_svm,10310,470,3600,0.7441323244079334,0.7441323244079334,0.7513888888888889,0.7513888888888888,50.0,0.0078125
uci270,B_rolling_update,10,ratio_median_svm,10310,470,3600,0.6792613653038982,0.6792613653038982,0.6822222222222222,0.6822222222222222,1.0,0.00390625
uci270,B_rolling_update,10,ss_svm_rbf,10310,470,3600,0.6792613653038982,0.6792613653038982,0.6822222222222222,0.6822222222222222,1.0,0.00390625
uci270,B_rolling_update,10,robust_svm_rbf,10310,470,3600,0.659165527416895,0.659165527416895,0.6713888888888889,0.671388888888889,50.0,0.01
