protocol,target_batch,tuning_policy,train_batches,inner_train_batches,inner_val_batches,model_name,C,gamma,val_macro_f1_fixed6
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,1.0,0.001,0.7717683964733532
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,1.0,0.00390625,0.9198515445565012
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,1.0,0.0078125,0.946808615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,1.0,0.01,0.946808615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,10.0,0.001,0.946808615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,10.0,0.00390625,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,10.0,0.0078125,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,10.0,0.01,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,50.0,0.001,0.9817858180761406
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,50.0,0.00390625,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,50.0,0.0078125,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],power_yeojohnson_svm,50.0,0.01,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,1.0,0.001,0.8004323366711836
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,1.0,0.00390625,0.9200818885368452
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,1.0,0.0078125,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,1.0,0.01,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,10.0,0.001,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,10.0,0.00390625,0.946808615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,10.0,0.0078125,0.9700307560260354
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,10.0,0.01,0.9700307560260354
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,50.0,0.001,0.946808615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,50.0,0.00390625,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,50.0,0.0078125,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,50.0,0.01,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,1.0,0.001,0.886326640341942
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,1.0,0.00390625,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,1.0,0.0078125,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,1.0,0.01,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,10.0,0.001,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,10.0,0.00390625,0.9709025956075523
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,10.0,0.0078125,0.9709025956075523
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,10.0,0.01,0.9709025956075523
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,50.0,0.001,0.9709025956075523
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,50.0,0.00390625,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,50.0,0.0078125,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,50.0,0.01,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,1.0,0.001,0.7820618832374282
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,1.0,0.00390625,0.9198515445565012
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,1.0,0.0078125,0.9562499999999999
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,1.0,0.01,0.9562499999999999
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,10.0,0.001,0.9562499999999999
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,10.0,0.00390625,1.0
