config_label,preprocessing,model_name,params_json,n_outer_folds,n_cv_test_concentration_groups,held_out_test_concentrations_mg_L,edge_concentrations_not_tested_mg_L,validation_design,fit_status,error_message,n_cv_test_spectra,cv_rmse,cv_mae,cv_r2,cv_smape_percent,cv_mape_percent
sg_selected__PLSRegression__000,sg_selected,PLSRegression,"{""model__n_components"": 2}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,2.916777331615946,1.7935901579233011,0.9845842095307588,49.85995581199526,43.49870544502962
sg_selected__PLSRegression__001,sg_selected,PLSRegression,"{""model__n_components"": 5}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,3.5180423784152537,2.198052866095487,0.9775735062294704,35.39335470409672,29.62655683638812
sg_selected__PLSRegression__002,sg_selected,PLSRegression,"{""model__n_components"": 8}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,3.1451936185829585,1.739237960186895,0.9820752123983124,50.21449365120066,45.56747936054381
sg_selected__PCA_PLSRegression__003,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 10, ""model__pls__n_components"": 2}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,3.1523235235455367,1.763042670523849,0.9819938521349166,49.0993943892423,42.4116201259229
sg_selected__PCA_PLSRegression__004,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 10, ""model__pls__n_components"": 5}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,3.152323523545553,1.7630426705238618,0.9819938521349164,49.0993943892423,42.411620125923584
sg_selected__PCA_PLSRegression__005,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 30, ""model__pls__n_components"": 2}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,2.814993594317289,1.6972737904374713,0.9856413348263392,47.39051354230043,48.09834000053653
sg_selected__PCA_PLSRegression__006,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 30, ""model__pls__n_components"": 5}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,2.814993594317245,1.69727379043739,0.9856413348263396,47.39051354230059,48.09834000053394
sg_selected__Ridge__007,sg_selected,Ridge,"{""model__alpha"": 0.1}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,2.89523914919652,1.591578404796346,0.9848110367322364,40.3167620157752,35.59019200507738
sg_selected__Ridge__008,sg_selected,Ridge,"{""model__alpha"": 1.0}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,3.0552342312135345,1.8042328997949877,0.9830859243331368,28.05379889609257,24.544318879176902
sg_selected__Ridge__009,sg_selected,Ridge,"{""model__alpha"": 10.0}",11,11,"0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75","0.1, 100",Middle-concentration-only LeaveOneConcentrationOut on standard concentration labels; global minimum and maximum concentrations are not held out as test folds,ok,,110,2.92062732771099,1.7080707119684433,0.9845434865709204,32.07110416398264,26.501223860419422
