config_label,boundary_id,low_upper_mg_L,mid_upper_mg_L,model_name,params_json,fit_status,error_message,validation_design,cv_accuracy,cv_balanced_accuracy,cv_macro_f1,cv_low_precision,cv_low_recall,cv_low_f1,cv_low_support,cv_mid_precision,cv_mid_recall,cv_mid_f1,cv_mid_support,cv_high_precision,cv_high_recall,cv_high_f1,cv_high_support,cv_n_errors
low_le_0.5__mid_le_3__PLSDA__000,low_le_0.5__mid_le_3,0.5,3.0,PLSDA,"{""model__n_components"": 2}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5384615384615384,0.3333333333333333,0.3111111111111111,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.875,1.0,0.9333333333333332,70.0,60
low_le_0.5__mid_le_3__PLSDA__001,low_le_0.5__mid_le_3,0.5,3.0,PLSDA,"{""model__n_components"": 5}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.4538461538461538,0.338095238095238,0.3537271448663854,0.1836734693877551,0.3,0.2278481012658227,30.0,0.0,0.0,0.0,30.0,1.0,0.7142857142857143,0.8333333333333334,70.0,71
low_le_0.5__mid_le_3__LogisticRegression__002,low_le_0.5__mid_le_3,0.5,3.0,LogisticRegression,"{""model__C"": 0.1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5384615384615384,0.3968253968253968,0.402930402930403,0.25,0.3333333333333333,0.2857142857142857,30.0,0.0,0.0,0.0,30.0,1.0,0.8571428571428571,0.9230769230769232,70.0,60
low_le_0.5__mid_le_3__LogisticRegression__003,low_le_0.5__mid_le_3,0.5,3.0,LogisticRegression,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6692307692307692,0.5857142857142857,0.5145888594164457,0.4736842105263157,0.9,0.6206896551724138,30.0,0.0,0.0,0.0,30.0,1.0,0.8571428571428571,0.9230769230769232,70.0,43
low_le_0.5__mid_le_3__SVC_RBF__004,low_le_0.5__mid_le_3,0.5,3.0,SVC_RBF,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.4615384615384615,0.2857142857142857,0.2985074626865672,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.9375,0.8571428571428571,0.8955223880597015,70.0,70
low_le_0.5__mid_le_3__SVC_RBF__005,low_le_0.5__mid_le_3,0.5,3.0,SVC_RBF,"{""model__C"": 10.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5846153846153846,0.4253968253968254,0.4187675070028011,0.25,0.3333333333333333,0.2857142857142857,30.0,0.0,0.0,0.0,30.0,1.0,0.9428571428571428,0.9705882352941176,70.0,54
low_le_0.5__mid_le_3__KNeighborsClassifier__006,low_le_0.5__mid_le_3,0.5,3.0,KNeighborsClassifier,"{""model__n_neighbors"": 1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7,0.5666666666666667,0.5061728395061729,0.4117647058823529,0.7,0.5185185185185185,30.0,0.0,0.0,0.0,30.0,1.0,1.0,1.0,70.0,39
low_le_0.5__mid_le_3__KNeighborsClassifier__007,low_le_0.5__mid_le_3,0.5,3.0,KNeighborsClassifier,"{""model__n_neighbors"": 3}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.676923076923077,0.5396825396825397,0.4912728045411771,0.3877551020408163,0.6333333333333333,0.4810126582278481,30.0,0.0,0.0,0.0,30.0,1.0,0.9857142857142858,0.9928057553956836,70.0,42
low_le_0.5__mid_le_3__RandomForestClassifier__008,low_le_0.5__mid_le_3,0.5,3.0,RandomForestClassifier,"{""model__min_samples_leaf"": 1, ""model__n_estimators"": 160}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7692307692307693,0.7238095238095239,0.6884916417045126,0.5918367346938775,0.9666666666666668,0.7341772151898734,30.0,0.5,0.3333333333333333,0.4,30.0,1.0,0.8714285714285714,0.931297709923664,70.0,30
low_le_0.5__mid_le_3__GradientBoostingClassifier__009,low_le_0.5__mid_le_3,0.5,3.0,GradientBoostingClassifier,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 100}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6538461538461539,0.5634920634920635,0.5079365079365079,0.5555555555555556,0.8333333333333334,0.6666666666666666,30.0,0.0,0.0,0.0,30.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,70.0,45
