config_label,preprocessing,model_name,params_json,n_outer_folds,n_cv_test_concentration_groups,held_out_test_concentrations_mg_L,edge_concentrations_not_tested_mg_L,validation_design,selection_metric,fit_status,error_message,cv_accuracy,cv_balanced_accuracy,cv_macro_f1,cv_low_precision,cv_low_recall,cv_low_f1,cv_low_support,cv_mid_precision,cv_mid_recall,cv_mid_f1,cv_mid_support,cv_high_precision,cv_high_recall,cv_high_f1,cv_high_support,cv_n_errors,n_cv_test_spectra
sg_selected__PLSDA__000,sg_selected,PLSDA,"{""model__n_components"": 2}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,0.5384615384615384,0.5166666666666667,0.4722222222222221,0.5714285714285714,0.8,0.6666666666666666,50.0,0.0,0.0,0.0,40.0,0.75,0.75,0.75,40.0,60,130
sg_selected__PLSDA__001,sg_selected,PLSDA,"{""model__n_components"": 5}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,0.7692307692307693,0.75,0.7474747474747474,0.8333333333333334,1.0,0.9090909090909092,50.0,0.6,0.75,0.6666666666666666,40.0,1.0,0.5,0.6666666666666666,40.0,30,130
sg_selected__LogisticRegression__002,sg_selected,LogisticRegression,"{""model__C"": 0.1}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,0.7692307692307693,0.7666666666666666,0.7746031746031746,0.8,0.8,0.8,50.0,0.6,0.75,0.6666666666666666,40.0,1.0,0.75,0.8571428571428571,40.0,30,130
sg_selected__LogisticRegression__003,sg_selected,LogisticRegression,"{""model__C"": 1.0}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,0.7769230769230769,0.7733333333333333,0.7810604495441519,0.803921568627451,0.82,0.8118811881188119,50.0,0.6122448979591837,0.75,0.6741573033707865,40.0,1.0,0.75,0.8571428571428571,40.0,29,130
sg_selected__LogisticRegression__004,sg_selected,LogisticRegression,"{""model__C"": 10.0}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,0.8461538461538461,0.8333333333333334,0.8387445887445888,0.8333333333333334,1.0,0.9090909090909092,50.0,0.75,0.75,0.75,40.0,1.0,0.75,0.8571428571428571,40.0,20,130
sg_selected__SVC_RBF__005,sg_selected,SVC_RBF,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,0.8461538461538461,0.85,0.85,0.8,0.8,0.8,50.0,0.75,0.75,0.75,40.0,1.0,1.0,1.0,40.0,20,130
sg_selected__SVC_RBF__006,sg_selected,SVC_RBF,"{""model__C"": 10.0, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,40.0,1.0,1.0,1.0,40.0,0,130
sg_selected__SVC_RBF__007,sg_selected,SVC_RBF,"{""model__C"": 100.0, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,40.0,1.0,1.0,1.0,40.0,0,130
sg_selected__KNeighborsClassifier__008,sg_selected,KNeighborsClassifier,"{""model__n_neighbors"": 1}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,0.8692307692307693,0.87,0.8713907451771529,0.8113207547169812,0.86,0.8349514563106796,50.0,0.8108108108108109,0.75,0.7792207792207793,40.0,1.0,1.0,1.0,40.0,17,130
sg_selected__KNeighborsClassifier__009,sg_selected,KNeighborsClassifier,"{""model__n_neighbors"": 3}",13,13,"0.1, 0.3, 0.5, 0.7, 1, 3, 5, 7, 10, 25, 50, 75, 100",,All-standard-concentration LeaveOneConcentrationOut on standard concentration labels within locked Low/Mid/High classes,"highest cv_balanced_accuracy, then cv_accuracy, then cv_macro_f1",ok,,0.8461538461538461,0.85,0.85,0.8,0.8,0.8,50.0,0.75,0.75,0.75,40.0,1.0,1.0,1.0,40.0,20,130
