dataset,sample_id,concentration_mg_L,concentration_label,replicate_id,class_label
standard,standard_0.1_01,0.1,0.1,1,Low
standard,standard_0.1_02,0.1,0.1,2,Low
standard,standard_0.1_03,0.1,0.1,3,Low
standard,standard_0.1_04,0.1,0.1,4,Low
standard,standard_0.1_05,0.1,0.1,5,Low
standard,standard_0.1_06,0.1,0.1,6,Low
standard,standard_0.1_07,0.1,0.1,7,Low
standard,standard_0.1_08,0.1,0.1,8,Low
standard,standard_0.1_09,0.1,0.1,9,Low
standard,standard_0.1_10,0.1,0.1,10,Low
standard,standard_0.3_01,0.3,0.3,1,Low
standard,standard_0.3_02,0.3,0.3,2,Low
standard,standard_0.3_03,0.3,0.3,3,Low
standard,standard_0.3_04,0.3,0.3,4,Low
standard,standard_0.3_05,0.3,0.3,5,Low
standard,standard_0.3_06,0.3,0.3,6,Low
standard,standard_0.3_07,0.3,0.3,7,Low
standard,standard_0.3_08,0.3,0.3,8,Low
standard,standard_0.3_09,0.3,0.3,9,Low
standard,standard_0.3_10,0.3,0.3,10,Low
standard,standard_0.5_01,0.5,0.5,1,Low
standard,standard_0.5_02,0.5,0.5,2,Low
standard,standard_0.5_03,0.5,0.5,3,Low
standard,standard_0.5_04,0.5,0.5,4,Low
standard,standard_0.5_05,0.5,0.5,5,Low
standard,standard_0.5_06,0.5,0.5,6,Low
standard,standard_0.5_07,0.5,0.5,7,Low
standard,standard_0.5_08,0.5,0.5,8,Low
standard,standard_0.5_09,0.5,0.5,9,Low
standard,standard_0.5_10,0.5,0.5,10,Low
standard,standard_0.7_01,0.7,0.7,1,Low
standard,standard_0.7_02,0.7,0.7,2,Low
standard,standard_0.7_03,0.7,0.7,3,Low
standard,standard_0.7_04,0.7,0.7,4,Low
standard,standard_0.7_05,0.7,0.7,5,Low
standard,standard_0.7_06,0.7,0.7,6,Low
standard,standard_0.7_07,0.7,0.7,7,Low
standard,standard_0.7_08,0.7,0.7,8,Low
standard,standard_0.7_09,0.7,0.7,9,Low
standard,standard_0.7_10,0.7,0.7,10,Low
standard,standard_1_01,1.0,1.0,1,Low
standard,standard_1_02,1.0,1.0,2,Low
standard,standard_1_03,1.0,1.0,3,Low
standard,standard_1_04,1.0,1.0,4,Low
standard,standard_1_05,1.0,1.0,5,Low
standard,standard_1_06,1.0,1.0,6,Low
standard,standard_1_07,1.0,1.0,7,Low
standard,standard_1_08,1.0,1.0,8,Low
standard,standard_1_09,1.0,1.0,9,Low
standard,standard_1_10,1.0,1.0,10,Low
