sample_zh,role,file_name,wavelength_nm,transmittance
包菜,random_sample_test,包菜1.csv,400,0.2026731
包菜,random_sample_test,包菜1.csv,401,0.2048236
包菜,random_sample_test,包菜1.csv,402,0.20713261
包菜,random_sample_test,包菜1.csv,403,0.2095996
包菜,random_sample_test,包菜1.csv,404,0.2121984
包菜,random_sample_test,包菜1.csv,405,0.21491602
包菜,random_sample_test,包菜1.csv,406,0.21787336
包菜,random_sample_test,包菜1.csv,407,0.22113974
包菜,random_sample_test,包菜1.csv,408,0.22460982
包菜,random_sample_test,包菜1.csv,409,0.22826156
包菜,random_sample_test,包菜1.csv,410,0.23197785
包菜,random_sample_test,包菜1.csv,411,0.2357181
包菜,random_sample_test,包菜1.csv,412,0.23941097
包菜,random_sample_test,包菜1.csv,413,0.24302897
包菜,random_sample_test,包菜1.csv,414,0.24656086
包菜,random_sample_test,包菜1.csv,415,0.25000674
包菜,random_sample_test,包菜1.csv,416,0.25326976
包菜,random_sample_test,包菜1.csv,417,0.256332
包菜,random_sample_test,包菜1.csv,418,0.2592165
包菜,random_sample_test,包菜1.csv,419,0.26199657
包菜,random_sample_test,包菜1.csv,420,0.26473844
包菜,random_sample_test,包菜1.csv,421,0.2675318
包菜,random_sample_test,包菜1.csv,422,0.27045116
包菜,random_sample_test,包菜1.csv,423,0.27356276
包菜,random_sample_test,包菜1.csv,424,0.27681863
包菜,random_sample_test,包菜1.csv,425,0.28020167
包菜,random_sample_test,包菜1.csv,426,0.28378198
包菜,random_sample_test,包菜1.csv,427,0.28752005
包菜,random_sample_test,包菜1.csv,428,0.29146865
包菜,random_sample_test,包菜1.csv,429,0.2956326
包菜,random_sample_test,包菜1.csv,430,0.2999405
包菜,random_sample_test,包菜1.csv,431,0.30418748
包菜,random_sample_test,包菜1.csv,432,0.30812156
包菜,random_sample_test,包菜1.csv,433,0.3113858
包菜,random_sample_test,包菜1.csv,434,0.3138155
包菜,random_sample_test,包菜1.csv,435,0.31544438
包菜,random_sample_test,包菜1.csv,436,0.31635177
包菜,random_sample_test,包菜1.csv,437,0.3168657
包菜,random_sample_test,包菜1.csv,438,0.31729746
包菜,random_sample_test,包菜1.csv,439,0.31771225
包菜,random_sample_test,包菜1.csv,440,0.31805626
包菜,random_sample_test,包菜1.csv,441,0.31817952
包菜,random_sample_test,包菜1.csv,442,0.31787935
包菜,random_sample_test,包菜1.csv,443,0.3170802
包菜,random_sample_test,包菜1.csv,444,0.3158745
包菜,random_sample_test,包菜1.csv,445,0.3144266
包菜,random_sample_test,包菜1.csv,446,0.31313956
包菜,random_sample_test,包菜1.csv,447,0.31231183
包菜,random_sample_test,包菜1.csv,448,0.3121246
包菜,random_sample_test,包菜1.csv,449,0.31261334
包菜,random_sample_test,包菜1.csv,450,0.31371954
包菜,random_sample_test,包菜1.csv,451,0.31520313
包菜,random_sample_test,包菜1.csv,452,0.31689614
包菜,random_sample_test,包菜1.csv,453,0.31866837
包菜,random_sample_test,包菜1.csv,454,0.32053295
包菜,random_sample_test,包菜1.csv,455,0.32249674
包菜,random_sample_test,包菜1.csv,456,0.32463688
包菜,random_sample_test,包菜1.csv,457,0.32695428
包菜,random_sample_test,包菜1.csv,458,0.32947245
包菜,random_sample_test,包菜1.csv,459,0.33213207
包菜,random_sample_test,包菜1.csv,460,0.33487248
包菜,random_sample_test,包菜1.csv,461,0.3375664
包菜,random_sample_test,包菜1.csv,462,0.34017542
包菜,random_sample_test,包菜1.csv,463,0.3426325
包菜,random_sample_test,包菜1.csv,464,0.3449461
包菜,random_sample_test,包菜1.csv,465,0.34715313
包菜,random_sample_test,包菜1.csv,466,0.34938
包菜,random_sample_test,包菜1.csv,467,0.3516555
包菜,random_sample_test,包菜1.csv,468,0.35399416
包菜,random_sample_test,包菜1.csv,469,0.35638922
包菜,random_sample_test,包菜1.csv,470,0.3587796
包菜,random_sample_test,包菜1.csv,471,0.3611018
包菜,random_sample_test,包菜1.csv,472,0.36328483
包菜,random_sample_test,包菜1.csv,473,0.36538383
包菜,random_sample_test,包菜1.csv,474,0.3673718
包菜,random_sample_test,包菜1.csv,475,0.36933234
包菜,random_sample_test,包菜1.csv,476,0.3712899
包菜,random_sample_test,包菜1.csv,477,0.37333146
包菜,random_sample_test,包菜1.csv,478,0.37542793
包菜,random_sample_test,包菜1.csv,479,0.37762275
包菜,random_sample_test,包菜1.csv,480,0.37990683
包菜,random_sample_test,包菜1.csv,481,0.38230437
包菜,random_sample_test,包菜1.csv,482,0.38489676
包菜,random_sample_test,包菜1.csv,483,0.38772792
包菜,random_sample_test,包菜1.csv,484,0.39085034
包菜,random_sample_test,包菜1.csv,485,0.39428878
包菜,random_sample_test,包菜1.csv,486,0.39806864
包菜,random_sample_test,包菜1.csv,487,0.4021019
包菜,random_sample_test,包菜1.csv,488,0.40626046
包菜,random_sample_test,包菜1.csv,489,0.41033173
包菜,random_sample_test,包菜1.csv,490,0.4141412
包菜,random_sample_test,包菜1.csv,491,0.41757685
包菜,random_sample_test,包菜1.csv,492,0.4206757
包菜,random_sample_test,包菜1.csv,493,0.42353573
包菜,random_sample_test,包菜1.csv,494,0.42630956
