sample_zh,sample_en,redline_file,test_file,n_effective_channels,wavelength_start_nm,wavelength_end_nm,redline_mean_transmittance,test_mean_transmittance,mean_delta_test_minus_redline,median_delta_test_minus_redline,min_delta_test_minus_redline,max_delta_test_minus_redline,channels_test_gt_redline,channels_test_ge_redline,proportion_test_gt_redline,proportion_test_ge_redline,strict_all_channels_test_gt_redline,mean_position_supports_qualified_rule,majority_channels_support_qualified_rule,paired_rmse,mean_absolute_delta,peak_absolute_delta,pearson_r,cosine_similarity,sign_crossings,report_inhibition_percent,report_threshold_percent,report_result,report_decision_by_threshold,redline_rule_alignment_with_report
李子,plum,李子2.csv,李子1.csv,301,400,700,0.3106086435315615,0.496893254883721,0.1862846113521594,0.1910974399999999,0.09004111,0.4281633999999999,301,301,1.0,1.0,True,True,True,0.2015038802042077,0.1862846113521594,0.4281633999999999,0.9859826354044524,0.9977244940824748,0,6.443,50.0,合格,合格,True
青椒,green pepper,青椒2.csv,青椒1.csv,301,400,700,0.3633320254451826,0.6638088853488371,0.3004768599036544,0.31929278,0.11506921,0.5496856,301,301,1.0,1.0,True,True,True,0.3186767954982182,0.3004768599036544,0.5496856,0.9889990300097908,0.996431899091768,0,3.986,50.0,合格,合格,True
青提,grape,青提1.csv,青提2.csv,301,400,700,0.466285918372093,0.4972671171428571,0.0309811987707641,0.036174,-0.04651835,0.1058959899999999,165,165,0.5481727574750831,0.5481727574750831,False,True,True,0.0622220982064268,0.0529290533222591,0.1058959899999999,0.984626660121523,0.9965168649225604,2,3.119,50.0,合格,合格,True
生菜,lettuce,生菜2.csv,生菜1.csv,301,400,700,0.4514353168438538,0.5968768557142858,0.1454415388704318,0.1278953299999999,0.08400255,0.34222827,301,301,1.0,1.0,True,True,True,0.1533214807390518,0.1454415388704318,0.34222827,0.9915855051719756,0.998156011800722,0,1.057,50.0,合格,合格,True
圣女果,cherry tomato,圣女果2.csv,圣女果1.csv,301,400,700,0.1773377015282392,0.4446739143720931,0.2673362128438538,0.34951222,0.05232224,0.51000778,301,301,1.0,1.0,True,True,True,0.3015124740799303,0.2673362128438538,0.51000778,0.96374858512562,0.993073806326166,0,2.264,50.0,合格,合格,True
小青菜,bok choy,小青菜1.csv,小青菜2.csv,301,400,700,0.1805607950996677,0.1886544984883721,0.0080937033887043,0.0053048499999999,-0.04806568,0.04080539,165,165,0.5481727574750831,0.5481727574750831,False,True,True,0.0235077761690958,0.0204075667774086,0.04806568,0.970255217115344,0.994835070606756,2,8.066,50.0,合格,合格,True
白菜,Chinese cabbage,白菜2.csv,白菜1.csv,301,400,700,0.4633212580730897,0.6025894138538207,0.1392681557807309,0.15032267,0.03427551,0.26895164,301,301,1.0,1.0,True,True,True,0.1587377963166473,0.1392681557807309,0.26895164,0.9861455878994873,0.9975628608946112,0,3.377,50.0,合格,合格,True
番茄,tomato,番茄2.csv,番茄1.csv,301,400,700,0.0886229531229235,0.3584492962126246,0.269826343089701,0.309672736,0.076123556,0.46166237,301,301,1.0,1.0,True,True,True,0.2962885763685051,0.269826343089701,0.46166237,0.9324511229482954,0.9895049013222008,0,3.034,50.0,合格,合格,True
包菜,cabbage,包菜2.csv,包菜1.csv,301,400,700,0.6004124863122924,0.6659485994684387,0.0655361131561461,0.0613888,0.01377346,0.2410417499999999,301,301,1.0,1.0,True,True,True,0.0773247934988673,0.0655361131561461,0.2410417499999999,0.9887677591984086,0.9974169631526048,0,1.762,50.0,合格,合格,True
菠菜,spinach,菠菜2.csv,菠菜1.csv,301,400,700,0.4900191114950167,0.5181554378737542,0.0281363263787375,0.03941092,-0.0090036,0.11902306,216,216,0.717607973421927,0.717607973421927,False,True,True,0.0389513087416188,0.030980833488372,0.11902306,0.9931292248417232,0.9983621290717012,4,1.967,50.0,合格,合格,True
