sample_id,label_mg_kg,label_source,reference_method_note
1,10.68,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
2,9.41,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
3,8.0,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
4,10.43,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
5,11.42,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
6,13.29,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
7,13.67,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
8,13.58,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
9,13.3,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
10,18.0,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
11,16.68,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
12,15.11,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
13,17.82,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
14,16.77,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
15,11.54,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
