sample_id,label_mg_kg,label_source,reference_method_note
1,133.89,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
2,200.0,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
3,168.59,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
4,106.07,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
5,102.78,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
6,123.0,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
7,128.78,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
8,152.44,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
9,100.0,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
10,132.96,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
11,104.98,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
12,198.53,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
13,141.65,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
14,129.83,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
15,103.68,Professional soil nutrient analyzer based on the metal-electrode method.,专业土壤养分检测仪基于金属电极法测定。
