preprocessing,phone,solution_cn,solution_en,mse_fixed,mse_reassembly,mse_ratio,log2_mse_ratio,centroid_mse_fixed,centroid_mse_reassembly,centroid_mse_ratio,direction,is_primary_result,paired_unit
raw_effective,Redmi Turbo 3,红色溶液,red colored solution,0.000427563393811,0.0058425535584322,13.664765606699378,3.772388808246277,0.0001924035272149,0.0026778370476147,13.917816821638263,reassembly_higher,False,phone-solution
sg,Redmi Turbo 3,红色溶液,red colored solution,0.000426848017195,0.0058272391428141,13.651789180387995,3.771018135594325,0.0001920816077377,0.0026708179404564,13.90460009113592,reassembly_higher,False,phone-solution
sg_snv,Redmi Turbo 3,红色溶液,red colored solution,0.0056632135326198,0.2043350295070702,36.08110983809986,5.173171810789336,0.0025484460896789,0.0936535551907405,36.74927853880542,reassembly_higher,True,phone-solution
raw_effective,Redmi Turbo 3,蓝色溶液,blue colored solution,0.000618202927205,0.0044683939709558,7.228037549349584,2.8536040009617434,0.0002781913172422,0.0020480139033547,7.361890096559764,reassembly_higher,False,phone-solution
sg,Redmi Turbo 3,蓝色溶液,blue colored solution,0.0006161744219046,0.0044462474365916,7.215890953162146,2.8511775366918366,0.000277278489857,0.0020378634084378,7.34951856340589,reassembly_higher,False,phone-solution
sg_snv,Redmi Turbo 3,蓝色溶液,blue colored solution,0.0353733057031306,0.2394523933384857,6.769296467457201,2.759005902389293,0.0159179875664087,0.1097490136134726,6.894653809447148,reassembly_higher,True,phone-solution
raw_effective,Redmi Turbo 3,黄色溶液,yellow colored solution,0.001477928924985,0.0073319418340921,4.96095699200592,2.310618450137519,0.0006650680162432,0.0033604733406255,5.052826565931955,reassembly_higher,False,phone-solution
sg,Redmi Turbo 3,黄色溶液,yellow colored solution,0.0014749308502685,0.0073076746033944,4.954587940216796,2.308765077325869,0.0006637188826208,0.0033493508598891,5.046339568739332,reassembly_higher,False,phone-solution
sg_snv,Redmi Turbo 3,黄色溶液,yellow colored solution,0.033121021260386,0.2233661584132094,6.743939344659141,2.753591560664191,0.0149044595671737,0.1023761559393876,6.868827110300977,reassembly_higher,True,phone-solution
raw_effective,Huawei P60,红色溶液,red colored solution,0.0027840786817429,0.0272287580725352,9.780168301669084,3.2898592919560543,0.0012528354067843,0.012479847449912,9.961282529477772,reassembly_higher,False,phone-solution
sg,Huawei P60,红色溶液,red colored solution,0.0027837156056823,0.0272127766999503,9.775702893069102,3.2892004388790883,0.001252672022557,0.0124725226541439,9.95673442812594,reassembly_higher,False,phone-solution
sg_snv,Huawei P60,红色溶液,red colored solution,0.0149618333254525,0.4981213913636552,33.2928044664332,5.0571384979399125,0.0067328249964536,0.2283056377083419,33.909337882478255,reassembly_higher,True,phone-solution
raw_effective,Huawei P60,蓝色溶液,blue colored solution,7.759234316875924e-05,0.070791560990632,912.3524061731732,9.833447378677231,3.4916554425941656e-05,0.0324461321207063,929.247821102306,reassembly_higher,False,phone-solution
sg,Huawei P60,蓝色溶液,blue colored solution,7.732782949503054e-05,0.0707850275510577,915.3887806408268,9.83824079959288,3.479752327276374e-05,0.0324431376275681,932.340424726768,reassembly_higher,False,phone-solution
sg_snv,Huawei P60,蓝色溶液,blue colored solution,0.0016361838912558,1.0965696148810853,670.1994933096588,9.388446785598042,0.0007362827510651,0.5025944068204975,682.6105950376154,reassembly_higher,True,phone-solution
raw_effective,Huawei P60,黄色溶液,yellow colored solution,0.0001110360528621,0.3207500327124823,2888.7016824236493,11.496205508464206,4.9966223787953225e-05,0.1470104316598877,2942.1961580240877,reassembly_higher,False,phone-solution
sg,Huawei P60,黄色溶液,yellow colored solution,0.0001109353738698,0.3207317986935321,2891.158946917936,11.497432210539218,4.992091824143703e-05,0.1470020744012022,2944.6989274164166,reassembly_higher,False,phone-solution
sg_snv,Huawei P60,黄色溶液,yellow colored solution,0.0006565381959831,0.4026483015933332,613.2899868687841,9.260425586191651,0.0002954421881923,0.1845471382302777,624.6472088478354,reassembly_higher,True,phone-solution
raw_effective,Redmi K60,红色溶液,red colored solution,7.256768474088922e-05,0.0025971073488633,35.78875856569709,5.161434595552104,3.265545813340014e-05,0.001190340868229,36.45151335395075,reassembly_higher,False,phone-solution
sg,Redmi K60,红色溶液,red colored solution,7.241416113386936e-05,0.0025921942998463,35.796786971739124,5.161758195562265,3.258637251024121e-05,0.0011880890540962,36.45969043417873,reassembly_higher,False,phone-solution
sg_snv,Redmi K60,红色溶液,red colored solution,0.0033032971962451,0.1215741144196076,36.80386813448153,5.2017854982664655,0.0014864837383103,0.0557214691089868,37.48542124808306,reassembly_higher,True,phone-solution
raw_effective,Redmi K60,蓝色溶液,blue colored solution,0.0006124031163096,0.005903091993708,9.6392259224285,3.2689172955513923,0.0002755814023393,0.0027055838304495,9.817730106177176,reassembly_higher,False,phone-solution
sg,Redmi K60,蓝色溶液,blue colored solution,0.0006123766994433,0.0058934834766535,9.62395120848184,3.2666293283556644,0.0002755695147494,0.0027011799267995,9.80217252715743,reassembly_higher,False,phone-solution
sg_snv,Redmi K60,蓝色溶液,blue colored solution,0.01587349449858,0.1481147567599053,9.3309483159587,3.222023711431379,0.007143072524361,0.0678859301816232,9.503743655143122,reassembly_higher,True,phone-solution
raw_effective,Redmi K60,黄色溶液,yellow colored solution,0.0007624008703212,0.0088613985457207,11.623017353044531,3.5389127380864926,0.0003430803916445,0.0040614743334553,11.838258415137949,reassembly_higher,False,phone-solution
sg,Redmi K60,黄色溶液,yellow colored solution,0.0007616472525777,0.0088414195456972,11.608286533922367,3.53708313070436,0.0003427412636599,0.0040523172917779,11.823254803069077,reassembly_higher,False,phone-solution
sg_snv,Redmi K60,黄色溶液,yellow colored solution,0.0029420554596774,0.0590549338141133,20.07267865051972,4.327161248606184,0.0013239249568548,0.0270668446648019,20.444394921825644,reassembly_higher,True,phone-solution
