score_type,threshold_source,gate_mode,quantile,delta_clip_quantile,g_co,g_eth,pass_rate_all_gates,mean_transition_improve_pct,mean_full_mae_delta,fallback_rate
diff_mean_abs,train,binary,0.70,1.00,1.25,0.50,0.700000,3.447335,-0.394280,0.300000
diff_mean_abs,train,binary,0.75,1.00,1.25,0.50,0.600000,3.574989,-0.337604,0.300000
diff_mean_abs,train,binary,0.80,1.00,1.25,0.50,0.600000,3.535839,-0.263493,0.200000
diff_mean_abs,cal,binary,0.85,1.00,1.25,0.50,0.600000,3.037527,-0.237630,0.400000
diff_mean_abs,cal,binary,0.65,1.00,1.25,0.50,0.600000,2.580207,-0.265591,0.300000
diff_mean_abs,cal,binary,0.75,1.00,1.25,0.50,0.600000,2.499234,-0.190701,0.300000
diff_mean_abs,cal,binary,0.60,1.00,1.25,0.50,0.600000,2.428913,-0.290657,0.300000
diff_mean_abs,train,binary,0.75,0.90,1.25,0.50,0.500000,2.343056,-0.233040,0.400000
diff_mean_abs,train,binary,0.85,0.90,1.25,0.50,0.500000,2.312604,-0.131269,0.300000
hybrid,cal,binary,0.85,1.00,1.25,0.50,0.500000,2.285451,-0.090795,0.500000
diff_mean_abs,train,binary,0.70,0.90,1.25,0.50,0.500000,2.265311,-0.266371,0.400000
diff_mean_abs,cal,binary,0.70,1.00,1.25,0.50,0.500000,2.069853,-0.186498,0.400000
diff_mean_abs,cal,binary,0.75,0.90,1.25,0.50,0.500000,1.967998,-0.159735,0.400000
diff_mean_abs,train,binary,0.85,1.00,1.25,0.50,0.400000,3.252610,-0.143664,0.300000
diff_mean_abs,train,binary,0.80,0.90,1.25,0.50,0.400000,2.346438,-0.189010,0.300000
diff_mean_abs,cal,binary,0.80,1.00,1.25,0.50,0.400000,2.094101,-0.133742,0.400000
diff_mean_abs,cal,binary,0.65,0.90,1.25,0.50,0.400000,1.998193,-0.217854,0.400000
diff_mean_abs,cal,binary,0.70,0.90,1.25,0.50,0.400000,1.974351,-0.189793,0.400000
diff_mean_abs,cal,binary,0.60,0.90,1.25,0.50,0.400000,1.962117,-0.239830,0.400000
diff_mean_abs,train,binary,0.65,1.00,1.25,0.50,0.400000,1.951089,-0.274661,0.400000
diff_mean_abs,cal,binary,0.80,0.90,1.25,0.50,0.400000,1.914525,-0.133042,0.400000
diff_mean_abs,train,binary,0.65,0.90,1.25,0.50,0.400000,1.908263,-0.284596,0.500000
diff_mean_abs,train,binary,0.60,1.00,1.25,0.50,0.400000,1.904428,-0.301728,0.400000
hybrid,train,binary,0.70,1.00,1.25,0.50,0.400000,1.673629,-0.121841,0.400000
hybrid,cal,binary,0.80,1.00,1.25,0.50,0.400000,1.640634,-0.074781,0.600000
hybrid,train,binary,0.65,1.00,1.25,0.50,0.400000,1.518456,-0.125708,0.400000
hybrid,cal,binary,0.65,1.00,1.25,0.50,0.400000,1.450555,-0.124335,0.500000
hybrid,train,binary,0.60,1.00,1.25,0.50,0.400000,1.402627,-0.130552,0.400000
hybrid,cal,binary,0.60,1.00,1.25,0.50,0.400000,1.393822,-0.135246,0.500000
